uri,dc.identifier,collections,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,note,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,editorialNote,related,relatedMatch,scopeNote,semanticRelation,topConceptOf,seeAlso
conceptscheme:vochtgehaltetype,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.vochtgehaltetype,,,Conceptschema vochtgehalte,,,,,,,,,,,,,,,,,,,,,
concept:droog,be.vlaanderen.bodemenondergrond.data.id.concept.vochtgehaltetype.droog,,droog,droog,,,,,,,"De grond is droog, er is weinig tot geen water aanwezig in de poriën. Bij het bevochtigen wordt de kleur donkerder, bij het open wrijven wordt de kleur bijna niet lichter","Definitie overgenomen van: https://publicaties.onroerenderfgoed.be/HAOE-29-BeschrijvenBodems/04_bodembeschrijving.html",,,,,conceptscheme:vochtgehaltetype,,,,,,,conceptscheme:vochtgehaltetype,,"https://publicaties.onroerenderfgoed.be/HAOE-29-BeschrijvenBodems/04_bodembeschrijving.html"
concept:weinigvochtig,be.vlaanderen.bodemenondergrond.data.id.concept.vochtgehaltetype.weinigvochtig,,weinigvochtig,weinig vochtig,,,,,,,"De grond bevat een gematigde hoeveelheid water. Bij het bevochtigen wordt de kleur iets donkerder, bij het open wrijven wordt de kleur duidelijk lichter. De grondoppervlakte is niet glanzend.","Definitie overgenomen van: https://publicaties.onroerenderfgoed.be/HAOE-29-BeschrijvenBodems/04_bodembeschrijving.html",,,,,conceptscheme:vochtgehaltetype,,,,,,,conceptscheme:vochtgehaltetype,"https://publicaties.onroerenderfgoed.be/HAOE-29-BeschrijvenBodems/04_bodembeschrijving.html"
concept:vochtig,be.vlaanderen.bodemenondergrond.data.id.concept.vochtgehaltetype.vochtig,,vochtig,vochtig,,,,,,,"De grond bevat een aanzienlijke hoeveelheid water maar is nog niet verzadigd. Er is geen vrij water zichtbaar. Bij het bevochtigen treedt er geen kleurverandering op. Bij het open wrijven wordt de kleur duidelijk lichter. De grondoppervlakte is zwak glanzend.","Definitie overgenomen van: https://publicaties.onroerenderfgoed.be/HAOE-29-BeschrijvenBodems/04_bodembeschrijving.html",,,,,conceptscheme:vochtgehaltetype,,,,,,,conceptscheme:vochtgehaltetype,"https://publicaties.onroerenderfgoed.be/HAOE-29-BeschrijvenBodems/04_bodembeschrijving.html"
concept:zeervochtig,be.vlaanderen.bodemenondergrond.data.id.concept.vochtgehaltetype.zeervochtig,,zeervochtig,zeer vochtig,nat,,,,,,"De grond bevat een grote hoeveelheid water, dicht bij verzadiging, maar is nog niet volledig verzadigd. Bij het bevochtigen treedt er geen kleurverandering op. Bij het open wrijven wordt de kleur iets lichter. De grondoppervlakte is glanzend.","Definitie overgenomen van: https://publicaties.onroerenderfgoed.be/HAOE-29-BeschrijvenBodems/04_bodembeschrijving.html",,,,,conceptscheme:vochtgehaltetype,,,,,,,conceptscheme:vochtgehaltetype,"https://publicaties.onroerenderfgoed.be/HAOE-29-BeschrijvenBodems/04_bodembeschrijving.html"
concept:verzadigd,be.vlaanderen.bodemenondergrond.data.id.concept.vochtgehaltetype.verzadigd,,verzadigd,verzadigd,,,,,,,"De grond is volledig verzadigd met water dat uit de poriën sijpelt. Bij het bevochtigen of open wrijven treedt er geen kleurverandering op. De grondoppervlakte is glanzend.","Definitie overgenomen van: https://publicaties.onroerenderfgoed.be/HAOE-29-BeschrijvenBodems/04_bodembeschrijving.html",,,,,conceptscheme:vochtgehaltetype,,,,,,,conceptscheme:vochtgehaltetype,"https://publicaties.onroerenderfgoed.be/HAOE-29-BeschrijvenBodems/04_bodembeschrijving.html"






